Date,Reference,Transaction Type,Money In, Money Out,Balance
16/06/2017,16/06/17 16:14 134-138 North Street Brighton GBR,ATM Cash Withdrawal,0.00,10.00,134.18
16/06/2017,16/06/17 14:41 Bank Machine (Cardtronics) COOPERATIVE BN1 4JH BRIGHTON G,ATM Cash Withdrawal,0.00,20.00,144.18
16/06/2017,16/06/17 04:40 Lloyds TSB Bank plc 171/173 NORTH ST BRIGHTON GBR,ATM Cash Withdrawal,0.00,10.00,164.18
16/06/2017,14 JUN 17 TESCO STORES-2700 HOVE GBR GBR,Card Purchase,0.00,6.44,174.18
15/06/2017,15/06/17 16:08 Lloyds TSB Bank plc 171/173 NORTH ST BRIGHTON GBR,ATM Cash Withdrawal,0.00,40.00,180.62
15/06/2017,15/06/17 12:30 Bank Machine (Cardtronics) COOPERATIVE BN1 4JH BRIGHTON G,ATM Cash Withdrawal,0.00,10.00,220.62
15/06/2017,15/06/17 12:11 134-138 North Street Brighton GBR,ATM Cash Withdrawal,10.00,0.00,230.62
15/06/2017,15/06/17 12:11 134-138 North Street Brighton GBR,ATM Cash Withdrawal,0.00,10.00,220.62
15/06/2017,13 JUN 17 CO-OP GROUP 070726 Brighton Lond GBR,Card Purchase,0.00,1.99,230.62
15/06/2017,JE891171D DWP EESA,BACS Payment Received,226.08,0.00,232.61
14/06/2017,14/06/17 17:05 Royal Bank of Scotland plc (Store) TESCO HOVE HOVE,ATM Cash Withdrawal,0.00,10.00,6.53
14/06/2017,Montgomery K Miss Montgomery K Miss NO REF REF-NO REF,Inward Payment,30.00,0.00,16.53
14/06/2017,12 JUN 17 SAINSBURYS SACAT 4680 BRIGHTON GBR GBR,Card Purchase,0.00,3.54,-13.47
14/06/2017,12 JUN 17 SAINSBURYS SACAT 4683 BRIGHTON GBR GBR,Card Purchase,0.00,1.40,-9.93
13/06/2017,09 JUN 17 SMART SEA VIEW BRIGHTO HOVE GBR,Card Purchase,0.00,20.00,-8.53
13/06/2017,09 JUN 17 TESCO STORES-2700 HOVE GBR GBR,Card Purchase,0.00,8.34,11.47
13/06/2017,11 JUN 17 SAINSBURYS SACAT 4680 BRIGHTON GBR GBR,Card Purchase,0.00,4.44,19.81
13/06/2017,10 JUN 17 SAINSBURYS SACAT 4680 BRIGHTON GBR GBR,Card Purchase,0.00,2.69,24.25
13/06/2017,09 JUN 17 CO-OP GROUP 070726 Brighton Lond GBR,Card Purchase,0.00,2.00,26.94
12/06/2017,12/06/17 22:33 Lloyds TSB Bank plc 171/173 NORTH ST BRIGHTON GBR,ATM Cash Withdrawal,0.00,10.00,28.94
12/06/2017,NOT PROVIDED NOT PROVIDED NO REF REF-NO REF,Inward Payment,20.00,0.00,38.94
12/06/2017,08 JUN 17 SMART BRIGHTON BEACH BRIGHTON GBR,Card Purchase,0.00,101.93,18.94
12/06/2017,08 JUN 17 SAINSBURYS SACAT 4680 BRIGHTON GBR GBR,Card Purchase,0.00,5.25,120.87
12/06/2017,08 JUN 17 SAINSBURYS SACAT 4680 BRIGHTON GBR GBR,Card Purchase,0.00,3.79,126.12
10/06/2017,10/06/17 20:54 NoteMachine BRIGHTON CASTLE ST BRIGHTON GBR,ATM Cash Withdrawal,0.00,40.00,129.91
09/06/2017,09/06/17 21:39 Royal Bank of Scotland plc (Store) TESCO HOVE HOVE,ATM Cash Withdrawal,0.00,20.00,169.91
09/06/2017,09/06/17 13:01 Lloyds TSB Bank plc 171/173 NORTH ST BRIGHTON GBR,ATM Cash Withdrawal,0.00,30.00,189.91
09/06/2017,K Montgomery K Montgomery NO REF REF-NO REF,Inward Payment,80.00,0.00,219.91
08/06/2017,06 JUN 17 SMART BRIGHTON BEACH BRIGHTON GBR,Card Purchase,0.00,29.97,139.91
07/06/2017,05 JUN 17 SMART BRIGHTON BEACH BRIGHTON GBR,Card Purchase,0.00,9.99,169.88
07/06/2017,05 JUN 17 SAINSBURYS SACAT 4680 BRIGHTON GBR GBR,Card Purchase,0.00,5.77,179.87
06/06/2017,K MONTGOMERY MONEY,Outward Faster Payment,0.00,80.00,185.64
06/06/2017,06/06/17 18:47 NoteMachine M & O TRADING BRIGHTON GBR,ATM Cash Withdrawal,0.00,30.00,265.64
06/06/2017,06/06/17 12:28 134-138 North Street Brighton GBR,ATM Cash Withdrawal,0.00,30.00,295.64
06/06/2017,03 JUN 17 SMART BRIGHTON BEACH BRIGHTON GBR,Card Purchase,0.00,30.00,325.64
06/06/2017,04 JUN 17 SAINSBURYS SACAT 4680 BRIGHTON GBR GBR,Card Purchase,0.00,1.65,355.64
06/06/2017,JE891171D DWP DLA,BACS Payment Received,310.60,0.00,357.29
05/06/2017,05/06/17 20:06 BRIGHTON WEST ST BRIGHTON GBR,ATM Cash Withdrawal,0.00,10.00,46.69
05/06/2017,Montgomery K Miss Montgomery K Miss NO REF REF-NO REF,Inward Payment,20.00,0.00,56.69
05/06/2017,01 JUN 17 SMART BRIGHTON BEACH BRIGHTON GBR,Card Purchase,0.00,12.50,36.69
04/06/2017,04/06/17 16:05 134-138 North Street Brighton GBR,ATM Cash Withdrawal,0.00,20.00,49.19
04/06/2017,Montgomery K Miss Montgomery K Miss NO REF REF-NO REF,Inward Payment,20.00,0.00,69.19
03/06/2017,03/06/17 14:20 NoteMachine BRIGHTON CASTLE ST BRIGHTON GBR,ATM Cash Withdrawal,0.00,20.00,49.19
02/06/2017,02/06/17 18:26 NoteMachine M & O TRADING BRIGHTON GBR,ATM Cash Withdrawal,0.00,30.00,69.19
02/06/2017,K MONTGOMERY MONEY,Outward Faster Payment,0.00,50.00,99.19
01/06/2017,01/06/17 11:08 147-148 WESTERN ROAD BRIGHTON GBR,ATM Cash Withdrawal,0.00,100.00,149.19
01/06/2017,30 MAY 17 TESCO STORES 3355 EASTBOURNE GBR GBR,Card Purchase,0.00,1.98,249.19
01/06/2017,JE891171D DWP EESA,BACS Payment Received,251.10,0.00,251.17
31/05/2017,31/05/17 14:47 NoteMachine METRO BANK EASTBOURNE EASTBOURNE GBR,ATM Cash Withdrawal,0.00,20.00,0.07
31/05/2017,Montgomery K Miss Montgomery K Miss NO REF REF-NO REF,Inward Payment,20.00,0.00,20.07
30/05/2017,27 MAY 17 TESCO STORES 3355 EASTBOURNE GBR GBR,Card Purchase,0.00,2.09,0.07
28/05/2017,28/05/17 17:15 NoteMachine METRO BANK EASTBOURNE EASTBOURNE GBR,ATM Cash Withdrawal,0.00,50.00,2.16
28/05/2017,Montgomery K Miss Montgomery K Miss NO REF REF-NO REF,Inward Payment,50.00,0.00,52.16
26/05/2017,26/05/17 10:35 Royal Bank of Scotland plc (Store) TESCO HOVE HOVE,ATM Cash Withdrawal,0.00,20.00,2.16
18/05/2017,18/05/17 03:38 Lloyds TSB Bank plc ST GEORGES ROAD BRIGHTON GBR,ATM Cash Withdrawal,0.00,230.00,22.16
18/05/2017,JE891171D DWP EESA,BACS Payment Received,251.10,0.00,252.16
16/05/2017,13 MAY 17 WM MORRISON PLC BRIGHTON GBR,Card Purchase,0.00,7.75,1.06
13/05/2017,13/05/17 14:51 147-148 WESTERN ROAD BRIGHTON GBR,ATM Cash Withdrawal,0.00,20.00,8.81
11/05/2017,11/05/17 15:34 Royal Bank of Scotland plc (Store) TESCO CHESHUNT EXT CHESHUNT,ATM Cash Withdrawal,0.00,10.00,28.81
11/05/2017,11/05/17 15:31 Royal Bank of Scotland plc (Store) TESCO CHESHUNT EXT CHESHUNT,ATM Cash Withdrawal,0.00,230.00,38.81

