Date,Reference,Transaction Type,Money In, Money Out,Balance
20/07/2017,18 JUL 17 SAINSBURYS SACAT4963 HOVE GBR GBR,Card Purchase,0.00,2.54,-47.58
20/07/2017,18 JUL 17 SAINSBURYS SACAT 4098 BRIGHTON GBR GBR,Card Purchase,0.00,1.30,-45.04
20/07/2017,18 JUL 17 SAINSBURYS SACAT 4098 BRIGHTON GBR GBR,Card Purchase,0.00,1.00,-43.74
19/07/2017,17 JUL 17 HFC KEBAB HOUSE HOVE GBR,Card Purchase,0.00,4.35,-42.74
19/07/2017,17 JUL 17 CO-OP GROUP 070724 Hove (SF) GBR,Card Purchase,0.00,2.49,-38.39
19/07/2017,17 JUL 17 WAITROSE 727 LEWES GBR,Card Purchase,0.00,0.63,-35.90
19/07/2017,17 JUL 17 SAINSBURYS LOC4963 HOVE GBR GBR,Card Purchase,0.00,14.45,-35.27
19/07/2017,17 JUL 17 SAINSBURYS SACAT4963 HOVE GBR GBR,Card Purchase,0.00,2.00,-20.82
18/07/2017,15 JUL 17 FW EVANS CYCLES BRIGHTON GBR,Card Purchase,0.00,6.99,-18.82
18/07/2017,15 JUL 17 SAINSBURYS SACAT 4098 BRIGHTON GBR GBR,Card Purchase,0.00,4.00,-11.83
18/07/2017,16 JUL 17 SAINSBURYS SACAT 4098 BRIGHTON GBR GBR,Card Purchase,0.00,3.79,-7.83
18/07/2017,15 JUL 17 SAINSBURYS SACAT 4098 BRIGHTON GBR GBR,Card Purchase,0.00,3.35,-4.04
18/07/2017,15 JUL 17 CO-OP GROUP 540010 Lewes Road GBR,Card Purchase,0.00,0.88,-0.69
17/07/2017,,Cash Withdrawal,0.00,7.00,0.19
17/07/2017,17/07/17 19:27 Royal Bank of Scotland plc (Store) TESCO HOVE HOVE,ATM Cash Withdrawal,0.00,70.00,7.19
17/07/2017,17/07/17 16:54 147-148 WESTERN ROAD BRIGHTON GBR,ATM Cash Withdrawal,0.00,10.00,77.19
17/07/2017,BRIGHTON N HOVE BC,BACS Payment Received,86.65,0.00,87.19
13/07/2017,13/07/17 08:39 55-56 WESTERN ROAD HOVE GBR,ATM Cash Withdrawal,0.00,210.00,0.54
13/07/2017,11 JUL 17 SAINSBURYS SACAT 4098 BRIGHTON GBR GBR,Card Purchase,0.00,2.60,210.54
13/07/2017,11 JUL 17 SAINSBURYS SACAT 4098 BRIGHTON GBR GBR,Card Purchase,0.00,2.00,213.14
13/07/2017,11 JUL 17 SAINSBURYS SACAT 4098 BRIGHTON GBR GBR,Card Purchase,0.00,0.50,215.14
13/07/2017,JE891171D DWP EESA,BACS Payment Received,251.10,0.00,215.64
12/07/2017,10 JUL 17 SAINSBURYS SACAT 4098 BRIGHTON GBR GBR,Card Purchase,0.00,4.60,-35.46
11/07/2017,07 JUL 17 SMART SEA VIEW BRIGHTO HOVE GBR,Card Purchase,0.00,105.85,-30.86
11/07/2017,07 JUL 17 CORNER NEWS LTD HOVE GBR,Card Purchase,0.00,15.77,74.99
11/07/2017,09 JUL 17 SAINSBURYS SACAT 4098 BRIGHTON GBR GBR,Card Purchase,0.00,6.69,90.76
11/07/2017,08 JUL 17 SAINSBURYS SACAT 4098 BRIGHTON GBR GBR,Card Purchase,0.00,5.85,97.45
11/07/2017,09 JUL 17 SAINSBURYS SACAT 4098 BRIGHTON GBR GBR,Card Purchase,0.00,2.59,103.30
10/07/2017,,Cash Withdrawal,0.00,5.00,105.89
10/07/2017,Counter deposit Transaction Date 10/07/17 TT171913HLXZ,Cash Deposit,0.40,0.00,110.89
10/07/2017,06 JUL 17 WAITROSE 727 LEWES GBR,Card Purchase,0.00,3.24,110.49
10/07/2017,BRIGHTON N HOVE BC,BACS Payment Received,7.49,0.00,113.73
08/07/2017,08/07/17 15:22 National Westminster Bank BRIGHTN CASTLE SQ2 BRIGHTON GB,ATM Cash Withdrawal,0.00,15.00,106.24
07/07/2017,04 JUL 17 THREE 2 FOUR SUPERMARK HOVE GBR GBR,Card Purchase,0.00,13.40,121.24
07/07/2017,05 JUL 17 TESCO STORES-2700 HOVE GBR GBR,Card Purchase,0.00,3.62,134.64
07/07/2017,06 JUL 17 CONNAUGHT STORE HOVE GBR,Card Purchase,0.00,2.00,138.26
06/07/2017,06/07/17 16:15 BRIGHTON LONDON RD BRIGHTON GBR,ATM Cash Withdrawal,0.00,40.00,140.26
06/07/2017,06/07/17 14:41 55-56 WESTERN ROAD HOVE GBR,ATM Cash Withdrawal,0.00,20.00,180.26
06/07/2017,04 JUL 17 THE SOUTHERN CO-OP WESTERN RD HO GBR GBR,Card Purchase,0.00,2.50,200.26
05/07/2017,05/07/17 23:36 55-56 WESTERN ROAD HOVE GBR,ATM Cash Withdrawal,0.00,10.00,202.76
05/07/2017,05/07/17 16:20 Bank Machine (Cardtronics) SOUTHERN CO OP WESTERNBRIGHTON G,ATM Cash Withdrawal,0.00,10.00,212.76
05/07/2017,03 JUL 17 SAINSBURYS SACAT4963 HOVE GBR GBR,Card Purchase,0.00,4.89,222.76
05/07/2017,03 JUL 17 SAINSBURYS SACAT 4098 BRIGHTON GBR GBR,Card Purchase,0.00,3.60,227.65
05/07/2017,03 JUL 17 SAINSBURYS LOC4098 BRIGHTON GBR GBR,Card Purchase,0.00,2.60,231.25
04/07/2017,K MONTGOMERY MONEY,Outward Faster Payment,0.00,50.00,233.85
04/07/2017,04/07/17 21:00 Lloyds TSB Bank plc 74-78 CHURCH RD HOVE GBR,ATM Cash Withdrawal,0.00,20.00,283.85
04/07/2017,04/07/17 16:18 55-56 WESTERN ROAD HOVE GBR,ATM Cash Withdrawal,0.00,20.00,303.85
04/07/2017,30 JUN 17 SMART SEA VIEW BRIGHTO HOVE GBR,Card Purchase,0.00,115.82,323.85
04/07/2017,02 JUL 17 YUMMIE PIZZA HOVE GBR GBR,Card Purchase,0.00,9.49,439.67
04/07/2017,02 JUL 17 SAINSBURYS SACAT 4098 BRIGHTON GBR GBR,Card Purchase,0.00,7.40,449.16
04/07/2017,30 JUN 17 SAINSBURYS SACAT 4098 BRIGHTON GBR GBR,Card Purchase,0.00,6.85,456.56
04/07/2017,30 JUN 17 CORNER NEWS LTD HOVE GBR,Card Purchase,0.00,3.44,463.41
04/07/2017,30 JUN 17 SAINSBURYS SACAT4963 HOVE GBR GBR,Card Purchase,0.00,2.24,466.85
04/07/2017,02 JUL 17 SAINSBURYS SACAT 4098 BRIGHTON GBR GBR,Card Purchase,0.00,0.69,469.09
04/07/2017,04/07/17 02:11 Royal Bank of Scotland plc (Store) TESCO HOVE HOVE,ATM Cash Withdrawal,0.00,10.00,469.78
04/07/2017,04/07/17 02:11 Royal Bank of Scotland plc (Store) TESCO HOVE HOVE,ATM Cash Withdrawal,0.00,10.00,479.78
04/07/2017,JE891171D DWP DLA,BACS Payment Received,310.60,0.00,489.78
04/07/2017,04/07/17 00:46 147-148 WESTERN ROAD BRIGHTON GBR,ATM Cash Withdrawal,0.00,20.00,179.18
03/07/2017,29 JUN 17 SMART SEA VIEW BRIGHTO HOVE GBR,Card Purchase,0.00,7.97,199.18
03/07/2017,BRIGHTON N HOVE BC,BACS Payment Received,74.27,0.00,207.15
01/07/2017,,Cash Withdrawal,0.00,9.99,132.88
30/06/2017,30/06/17 22:29 Bank Machine (Cardtronics) SOUTHERN CO OP WESTERNBRIGHTON G,ATM Cash Withdrawal,0.00,10.00,142.87
30/06/2017,30/06/17 22:26 Bank Machine (Cardtronics) SOUTHERN CO OP WESTERNBRIGHTON G,ATM Cash Withdrawal,0.00,20.00,152.87
30/06/2017,28 JUN 17 CO-OP GROUP 310450 St James Stre GBR,Card Purchase,0.00,1.00,172.87
30/06/2017,30/06/17 00:36 55-56 WESTERN ROAD HOVE GBR,ATM Cash Withdrawal,0.00,20.00,173.87
